repo,author,page_num,state,issue.number,comments_num,comments_url,html_url,labels,title,body
Misago,7,7,7,7,7,7,7,7,7,7
Spirit,7,7,7,7,7,7,7,7,7,7
awx,24,24,24,24,24,24,24,24,24,24
bootcamp,5,5,5,5,5,5,5,5,5,5
django-blog-zinnia,49,49,49,49,49,49,49,49,49,49
django-jet,1,1,1,1,1,1,1,1,1,1
django-oscar,74,74,74,74,74,74,74,74,74,74
django-react-redux-base,1,1,1,1,1,1,1,1,1,1
django-rest-auth,37,37,37,37,37,37,37,37,37,37
django-rest-framework-jwt,13,13,13,13,13,13,13,13,13,13
django-shop,9,9,9,9,9,9,9,9,9,9
healthchecks,4,4,4,4,4,4,4,4,4,4
saleor,39,39,39,39,39,39,39,39,39,39
taiga-back,27,27,27,27,27,27,27,27,27,26
